# SENSeOR HTR02: Temperature and Parial Discharge Monitoring of Electrical Equipment (Switchgears)
#
DataObjectName;Activated;RegisterType;RegisterNumber;DataType;Unit;DataFormatOnBus;BitOffset;ScalingFactor;ScalingOffset
#
# SAW Sensor Temperature Measurement
GrpA_Temp_SAW01_A1;1;Input;1;MV;degC;Int16;0;0.1;0.0
GrpA_Temp_SAW02_A2;1;Input;2;MV;degC;Int16;0;0.1;0.0
GrpA_Temp_SAW03_A3;1;Input;3;MV;degC;Int16;0;0.1;0.0
GrpB_Temp_SAW04_B1;1;Input;4;MV;degC;Int16;0;0.1;0.0
GrpB_Temp_SAW05_B2;1;Input;5;MV;degC;Int16;0;0.1;0.0
GrpB_Temp_SAW06_B3;1;Input;6;MV;degC;Int16;0;0.1;0.0
GrpC_Temp_SAW07_C1;1;Input;7;MV;degC;Int16;0;0.1;0.0
GrpC_Temp_SAW08_C2;1;Input;8;MV;degC;Int16;0;0.1;0.0
GrpC_Temp_SAW09_C3;1;Input;9;MV;degC;Int16;0;0.1;0.0
GrpD_Temp_SAW10_D1;1;Input;10;MV;degC;Int16;0;0.1;0.0
GrpD_Temp_SAW11_D2;1;Input;11;MV;degC;Int16;0;0.1;0.0
GrpD_Temp_SAW12_D3;1;Input;12;MV;degC;Int16;0;0.1;0.0
GrpE_Temp_SAW13_E1;1;Input;13;MV;degC;Int16;0;0.1;0.0
GrpE_Temp_SAW14_E2;1;Input;14;MV;degC;Int16;0;0.1;0.0
GrpE_Temp_SAW15_E3;1;Input;15;MV;degC;Int16;0;0.1;0.0
GrpF_Temp_SAW16_F1;1;Input;16;MV;degC;Int16;0;0.1;0.0
GrpF_Temp_SAW17_F2;1;Input;17;MV;degC;Int16;0;0.1;0.0
GrpF_Temp_SAW18_F3;1;Input;18;MV;degC;Int16;0;0.1;0.0
#
# Group Data
GrpA_MeanTemp;1;Input;19;MV;degC;Int16;0;0.1;0.0
GrpA_Sens1_Overheat_warn;1;Input;20;Indication;;1Bit;0;0;0
GrpA_Sens1_Overheat_alrt;1;Input;20;Indication;;1Bit;1;0;0
GrpA_Sens1_Deviation_warn;1;Input;20;Indication;;1Bit;2;0;0
GrpA_Sens1_Deviation_alrt;1;Input;20;Indication;;1Bit;3;0;0
GrpA_Sens1_RF_link_alrt;1;Input;20;Indication;;1Bit;4;0;0
GrpA_Sens2_Overheat_warn;1;Input;20;Indication;;1Bit;5;0;0
GrpA_Sens2_Overheat_alrt;1;Input;20;Indication;;1Bit;6;0;0
GrpA_Sens2_Deviation_warn;1;Input;20;Indication;;1Bit;7;0;0
GrpA_Sens2_Deviation_alrt;1;Input;20;Indication;;1Bit;8;0;0
GrpA_Sens2_RF_link_alrt;1;Input;20;Indication;;1Bit;9;0;0
GrpA_Sens3_Overheat_warn;1;Input;20;Indication;;1Bit;10;0;0
GrpA_Sens3_Overheat_alrt;1;Input;20;Indication;;1Bit;11;0;0
GrpA_Sens3_Deviation_warn;1;Input;20;Indication;;1Bit;12;0;0
GrpA_Sens3_Deviation_alrt;1;Input;20;Indication;;1Bit;13;0;0
GrpA_Sens3_RF_link_alrt;1;Input;20;Indication;;1Bit;14;0;0
#
GrpB_MeanTemp;1;Input;22;MV;degC;Int16;0;0.1;0.0
GrpB_Sens1_Overheat_warn;1;Input;23;Indication;;1Bit;0;0;0
GrpB_Sens1_Overheat_alrt;1;Input;23;Indication;;1Bit;1;0;0
GrpB_Sens1_Deviation_warn;1;Input;23;Indication;;1Bit;2;0;0
GrpB_Sens1_Deviation_alrt;1;Input;23;Indication;;1Bit;3;0;0
GrpB_Sens1_RF_link_alrt;1;Input;23;Indication;;1Bit;4;0;0
GrpB_Sens2_Overheat_warn;1;Input;23;Indication;;1Bit;5;0;0
