Name;Address;Type;DefaultValue;Mapping
VendorName;1.3.6.1.2.1.47.1.1.1.1.12.1;Single;CISCO;VendorName
HardwareId;1.3.6.1.2.1.47.1.1.1.1.15.1;Single;;AssetUuid
DeviceName;1.3.6.1.2.1.1.5.0;Single;SNMPDevice;HwProduct.0/ProdCompName
Location;1.3.6.1.2.1.1.6.0;Single;;LocationName
DeviceFamily;;Single;Cisco;DeviceFamily
DeviceModel;1.3.6.1.2.1.47.1.1.1.1.13.1;Single;;DeviceModel
SerialNumber;1.3.6.1.2.1.47.1.1.1.1.11.1;Single;;HwProduct/ProdCompSerialNumber
OrderNumber;;Single;;HwProduct/ProdCompOrderNumber
HwVersion;1.3.6.1.2.1.47.1.1.1.1.8.1;Single;;HwProduct/ProdCompVersion
FwVersion;1.3.6.1.2.1.47.1.1.1.1.9.1;Single;;FwSwComponent.0/ProdCompVersion
FwName;;Single;Device Firmware;FwSwComponent.0/ProdCompName
FwDescription;;Single;Device Firmware;FwSwComponent.0/ProdCompDescription
SwVersion;1.3.6.1.2.1.47.1.1.1.1.10.1;Single;;FwSwComponent.1/ProdCompVersion
SwName;;Single;Device Software;FwSwComponent.1/ProdCompName
SwDescription;;Single;BootSWVersion;FwSwComponent.1/ProdCompDescription
