Name;Address;Type;DefaultValue;Mapping
VendorName;1.3.6.1.2.1.1.1.0;Single;Siemens;VendorName
DeviceName;1.3.6.1.2.1.1.5.0;Single;SNMPDevice;HwProduct.0/ProdCompName
Location;1.3.6.1.2.1.1.6.0;Single;;LocationName
DeviceFamily;1.3.6.1.2.1.1.1.0;Single;SIMATIC NET;DeviceFamily
DeviceType;1.3.6.1.2.1.1.1.0;Single;Scalance;HwProduct.0/ProdCompDescription
DeviceModel;;Single;MUM856-1;DeviceModel
SerialNumber;;Single;;HwProduct.0/ProdCompSerialNumber
OrderNumber;1.3.6.1.4.1.4329.20.1.1.1.1.2.20.1.5;Single;;HwProduct.0/ProdCompOrderNumber
HwVersion;1.3.6.1.4.1.4329.20.1.1.1.1.2.20.1.4;Single;;HwProduct.0/ProdCompVersion
FwVersion;;Single;;FwSwComponent.0/ProdCompVersion
FwName;;Single;FW;FwSwComponent.0/ProdCompName
FwDescription;;Single;Device firmware;FwSwComponent.0/ProdCompDescription
SwVersion;1.3.6.1.4.1.4329.20.1.1.1.1.2.25.1.3;Single;;FwSwComponent.1/ProdCompVersion
SwName;;Single;Device Software;FwSwComponent.1/ProdCompName
SwDescription;1.3.6.1.4.1.4329.20.1.1.1.1.2.25.1.5;Single;BootSWVersion;FwSwComponent.1/ProdCompDescription
