Name;Address;Type;DefaultValue;Mapping
PCVendor;select manufacturer from win32_computersystem;Single;;VendorName
MACAddress;select caption,description,macaddress,ipaddress from win32_networkadapterconfiguration;Single;;NetworkComponent.0/ProdNetworkCompMACAddr
DeviceName;select name from win32_computersystem;Single;;HwProduct/ProdCompName
DeviceFamily;select systemtype from win32_computersystem;Single;Windows;DeviceFamily
DeviceModel;select model from win32_computersystem;Single;;DeviceModel
SerialNumber;select serialnumber from win32_bios;Single;;HwProduct/ProdCompSerialNumber
OSVersion;select version from win32_operatingsystem;Single;;FwSwComponent.0/ProdCompVersion
OSName;select name from win32_operatingsystem;Single;;FwSwComponent.0/ProdCompName
OSVendor;select manufacturer from win32_operatingsystem;Single;;FwSwComponent.0/ProdCompVendorName
SwVendor;select vendor from win32_product where vendor like '%siemens%' or name like '%.net runtime%';Multiple;;FwSwComponent.1/ProdCompVendorName
SwVersion;select version from win32_product where vendor like '%siemens%' or name like '%.net runtime%';Multiple;;FwSwComponent.1/ProdCompVersion
SwName;select name from win32_product where vendor like '%siemens%' or name like '%.net runtime%';Multiple;;FwSwComponent.1/ProdCompName
WindowsPatchVersion;select HotFixID from win32_quickfixengineering;Multiple;;FwSwComponent.2/ProdCompVersion
WindowsPatchName;select Description from win32_quickfixengineering;Multiple;;FwSwComponent.2/ProdCompName
